sample	tax.level	method	value
Flex_D04-NF-R1	genus	simpson	0.944
XT_D04-NFlex-R1-A	species	shannon	4.944
XT_D06-NFlex-R1-A	species	shannon	4.384
XT_D08-NFlex-R1-C	species	shannon	4.539
XT_D07-NFlex-R1-C	species	shannon	4.609
XT_D10-NFlex-R1-C	species	shannon	4.69
XT_D05-NFlex-R1-C	species	shannon	4.731
XT_D05-NFlex-R1-A	species	shannon	4.731
XT_D05-NFlex-R1-B	species	shannon	4.729
XT_D08-NFlex-R1-B	species	shannon	4.532
XT_D02-NFlex-R1-B	species	shannon	4.511
XT_D07-NFlex-R1-B	species	shannon	4.621
XT_D09-NFlex-R1-B	species	shannon	4.963
XT_D03-NFlex-R1-C	species	shannon	4.674
XT_D01-NFlex-R1-A	species	shannon	4.858
XT_D04-NFlex-R1-C	species	shannon	4.942
XT_D10-NFlex-R1-A	species	shannon	4.691
XT_D06-NFlex-R1-B	species	shannon	4.402
XT_D03-NFlex-R1-B	species	shannon	4.669
XT_D10-NFlex-R1-B	species	shannon	4.688
XT_D09-NFlex-R1-C	species	shannon	4.961
XT_D02-NFlex-R1-A	species	shannon	4.508
XT_D09-NFlex-R1-A	species	shannon	4.963
XT_D04-NFlex-R1-B	species	shannon	4.94
XT_D08-NFlex-R1-A	species	shannon	4.543
XT_D06-NFlex-R1-C	species	shannon	4.392
XT_D02-NFlex-R1-C	species	shannon	4.512
XT_D01-NFlex-R1-C	species	shannon	4.839
XT_D07-NFlex-R1-A	species	shannon	4.601
XT_D03-NFlex-R1-A	species	shannon	4.674
XT_D01-NFlex-R1-B	species	shannon	4.833
Flex_D10-NF-R1	species	shannon	4.766
Flex_D07-NF-R1	species	shannon	4.775
Flex_D08-NF-R1	species	shannon	4.619
Flex_D05-NF-R1	species	shannon	4.839
Flex_D02-NF-R1	species	shannon	4.659
Flex_D03-NF-R1	species	shannon	4.769
Flex_D09-NF-R1	species	shannon	4.914
Flex_D01-NF-R1	species	shannon	4.881
Flex_D06-NF-R1	species	shannon	4.513
Flex_D04-NF-R1	species	shannon	5.034
XT_D04-NFlex-R1-A	species	simpson	0.98
XT_D06-NFlex-R1-A	species	simpson	0.958
XT_D08-NFlex-R1-C	species	simpson	0.964
XT_D07-NFlex-R1-C	species	simpson	0.968
XT_D10-NFlex-R1-C	species	simpson	0.969
XT_D05-NFlex-R1-C	species	simpson	0.97
XT_D05-NFlex-R1-A	species	simpson	0.97
XT_D05-NFlex-R1-B	species	simpson	0.97
XT_D08-NFlex-R1-B	species	simpson	0.964
XT_D02-NFlex-R1-B	species	simpson	0.972
XT_D07-NFlex-R1-B	species	simpson	0.968
